ID,rel_docs
53,1879791 4497912 4925773 5418702 4926694 667703 3010936 4815039 4253650 4251271 4497928 6348963 4267933 4331508 4252863 4185374 6349593 5285119 4253691 4269560 41155 5567274 4188176 4274494 6414621 168604 4955013 411181 295358 3308818
54,1645138 46525 3349310 6083751 4718007 4793392 4122217 7461939 2786301 8939287 4718316 5993344 3263710 3279254 3219084 3214020 3202326 3207787 3229009 3339413 1666074 3279241 1526595 3365604 3258800 3220783 3221318 3291741 3305667 3305761 3384539 3218905 3228985 3228393 3220750 3365626 3308803 3365488 3365545 3242256 3365627 3316207 3351209 3240912 3263080 2458881 3214065 3228830 3228919 3236612 3365457 3263048
55,37466 37467 1530894 5025644 4281852 7268516 7270893 7263254 7271625 8451408 677922 5189863 8409195 751377 426436 7250647 31956 540296 1317295 175263 4289290 1456368 2538933 1885961 1498298 1498152 1497781 2514659 2516803 1970409 1330561 1498042 2487887 2515084 2499466
56,2002750 5391658 8036847 5922083 2084031 5031179 4173662 6266243 5911607 4234511 5131386 6102341
57,3346 3501 6220636 15736 234921 21412 5099952 6567033
58,7515 5278039 7004570 2767786 6841844 8749949 8994 7467589 1087135 2011840 8855 6324680 5128387 4666308 6871720 302715 8986349 4400773 6202457
59,36694 701 222089 4430352 34016 97362 298893 6086670 8689622 29213 4330572 781171 1527166 434651 8337973 539116 1721191 26857 2004140 3153851 5328633 5935330 8789498
60,112993 9163472 5299150 7450471 5908295 8583 8378173 2308856
61,40476 5351069 8802130 7225374 803365 9207622 9207607 262436 59996 5435909 1674133 6354885 187234 218148 8372705 131227 5174323 179679 170867 1162096 5579631 4002468 8474166 9196313 3075021 5351141 8328911 949899 9040917 132211
62,43153 2377106 7485311 9183329 138556 470709 4525670 1376484 3180959 4907453 8900194 9115829 8708993 128890 5080972 9058491 9057505 7463644 2632466 1915444 2084307 44434 849561 1573689 8565856 3541506 7638359 2589899 252 6924639
63,27518 94605 4793214 4675445 7756744 8857489 878499 4505377 417660 1252005 459284 6225512 2881384 4454430 2789114 4513259 4451554 553698 1966539 6584226 4808214
64,3054266 1447994 5218621 5587019 5356821 5281951 4195680 6334041 8898908 3652801 2725366 4194900 2231383 8040458 1835874 484229
65,1825316 5004587 1124613 702859 1120216 170147 4880521
66,1236 6024211 331210 6024255 1505519 1826611 450721 489807 7576651 2218567 30137 489908 1805470 392045 8470717 1374555 490130 6932863 2498786 58095 225408 1369 128945 4480076 451374 6046573 99603 6884582 501720 225415 3764071 5161875 8829790 123443 1004482 21867 489845 5907511 1231397 27855 1318089 124653 489887 170955 4374 236432 311468 152918 5485992 450617 4741537 2532 1805648 472915 6520499 99042 948901 832997 2370090
67,426071 751380 2400685 9051043 7485014 7045290 8103304 6169873 7377040 8012257 5281537 5327651 7411067 1363104 8396541
68,476446 1808778 676089 6266172 7066458 17298 3103010 238177 5098036 490176 7565242 42550 5797807 6303182 4585346 1089 5231685 7259949 7040019 2864767 489388 6628946 5327908 6637419 6628951
69,18397 403260 403409 5128559 41012 3978636 5507592 5320128 784148 9026284 4241624 1268872 3519003 6155946 614052 914247 762426 9334 208837 8825467 891448 1485781 1140939 2477081 1025099
70,190806 188622 5252357 115997 700876 51733 1650850 4849628 2245587 190871 8856927 139738 8596326 245905 9147019 380089 55183 5598684
71,133928 1289698 4860161 160228 1021740 1442405 7791152 5548710 7766816 44521 821957 2887344 1832075 391948 5302846 7985221 180921 36637 6471325 6432846 4434515 5007707 303904 4451394 7403091 7282043 4705246 8565885 2070759
72,709704 3080867 9346 7073221 1853934 8285572 4390397 7060528 1422043 1021378 6635395 6390911 3825595 8908246 8778834 3138228 165077 2122074
73,3521 3514 905046 1052018 4111200 3518358 21412 9108927 4830980 2753236 3518 3695 2597 3519 3693 3520 3702 3700 3346 514426 2583
74,208166 560644 2813801 130599 5470604 1179468 2493634 11503 7413283 73736 1065163 5356040 2627250 8488719 6146965 3194827 8851029
75,1330777 996 4190 6598532 4713101 6331162 629116 719685 7042949 299183 5362619 1935976 49109 442500 1011290 2516811 362382 5931312 1627513 29366 4846677 5779047 6434900 362283 432668 8466103 4907897 4136481 7664704 3231592 6224702 289751 4928219
76,60788 60784 2911027 4975680 5001597 8468335 5359017 863792 119737 5286485 1087723 8066380 441253 1820312 5085374 1724366
77,10180 8132393 4085118 5251029 490694 5008600 7610467 1619584 1989837 2772448 2585110 8306844 5251449 82851 6205678 2812586
78,158856 52235 90456 154273 36404 252720 140948 46958 157849 264487 154247 5310938 5500460 4307735 4315780 4312896 4469164 751471 4634093 354331 5770588 1565997 8209032 952143 251774 263662 266119 5492381 6919322 6181280 218856 6398429 1551862 5157535 730518 6941729 204786 305103 8956260 6365098 264547 6819910 434621
79,2237279 1831804 4762170 2031457 6095159 2808992 9056491 5217426 2646376 5931131 6394709 4697240 5281122 1336828 8523297 4259896 1137866 4370098 8290073 8272363 1430259 758341 6835994 2458897 603742 4801677 1865978 879090 4717855 6091976 634099 6212822 6215075 199725 8272398 465392 462748 69937 167645 1116026 6261730 5588328 4370057 2808979 2597648 746771 2124159 7324125 8342796 1817444 1757813 2146113
80,819752 6392101 1385846 133029 2029049 6149944 3180069 246610 3594514 2460344 1504669 1440400 4012701 156801 212018 924281 8964944 7077163 4370071 2864849 1536428 270104 5223559 5599974 5320222 5469824 7912659 5374079 7793150 779495 6154251 7546294 1027992 5194374 4593108 6150860 924914 5220632 944938 4611144 146857 6138976 332912 7029185 5374110 9187521 3679168 8270175 4753075 7846232 3174920 8163246 8655676 1221770 4554296
81,150754 13421 441 7032182 6839378 1033826 1033854 162777 2762030 1853157 7547538 2316906 151381 8714472 288467 1227668 1489838 1525719 35010 1498130
82,227442 4645717 795828 9214949 1195697 1184626 8278694 1328868 6027909 50431 4269905 1319642 2070759 1406367
83,123187 4965114 8230003 7176844 8952543 1802942 5551618 6351382 6370515 202719 1345430 7862794 8677259 6160115 7862552 8421386 8268927 7862588 7863027 2122674 704663 6495680 1632 7429852 461886
84,35517 35528 1725357 1086638 6072555 2061911 494725 2127120 1176459 1291703 4932581 1152987 1292008 4593620 1952200 1120373 4110738 4897414 1234566 2053237 1810289 1602851 4898920 2201643 2519790 1934753 1937560 1982677 1153118 1937687 2120355 1273708 4642952
85,4456 16601 156573 4973818 561137 5978320 259405 255327 254646 4944908 4608441 102803 53931 4058095 6807 7528924 8405153 848404 1917856 223787 534199 1495764 395521 219260 156585 396493 152092 701141 9184017 4376594 686607 1675164 177307 4686700 6545092 697163 5068330 8049639 91600 5388888 404552 1401356 636473 42914 5863053 414451 1174975 8400475 6558261 321199 6413710 413952 424817 2132601 220555 4573786 384025 363838 1643469 4457
86,212548 6102098 5287683 9108715 5471151 2850261 5287621 7746390 5286313 1682151 7294686 6267934 8663829 1302488 2369798 4641235 4670995 6384406 4669165
87,22854 3306891 1308676 7476969 1093762 3009581 4010015 8713371 2498716 1897201 4179129 4555890 2105155 679536 6871551 1371668 105847 4236045 9011580 2024079 153060 9072936 3802740 6119804 3574257 7724049 3438725 5491981 59555 4477348
88,72236 4220018 6564591 9028083 7999538 5897563 9077577 5020550
89,8667 1261610 6312985 2296470 7023854 5981719 4266696 5693092 776741 122236 237009 4955335 5993636 240336 6176359 5981221 5993064 3175739 5668156 6194786 5993709 5777568 5992986 6177741 1263112 5988688 753036 5985819 6207000 6205485 6207022 6205851 5157058 6205969 6205289 6206951 6205335 6205652 753034 5988764 6206978 239017 2300996 5988662 6204690 6208888 6188939 769557 6147307 6209193 5768173 6181098 8893845 6598278 6188665 4257819 6191177 5993446 863414 5992683 6160930 16237 6385903 34686 8424286 5992720 6139738 4772544 4092761
90,83829 687391 7106888 4152478 1781834 7431256 892226 1780341 1812401 1780326 1834243 430564 167483 5793107 5953153 184672 3567867 1873082 421470 3599083 1452734 6241417 4973352 5279750 1541051 368370 8568175 282252 8537113 5946480 4947539 4435302 1781828 2376701 4950202 1280456 1854469 4948169 7146095 4129840 8027477 4329905 6501959 4850585 442994 7921584 739991 21434
91,5310003 8430295 5214604 9191091 5196186 7490879 331349 8429453 2072507 5419146 5945014
92,288104 273272 441 1525799 288467 1227668 1489838 1525719 35010 1498130 555789 2084652 1525734 452990 5478879 799068 8900955 34841 35308 232714 35518 35529 34832 243191 286717 287374 4955090 35017 35018 288712 35070 286690 452980 35071 35009 1525759 287429 287690 35072 288447 35267 150754 34861 34855 34992 288493 288027 9170313 143628 8947810 35297 6843 35069 286666 4119 1822766 34852 35001 677090
93,16866 1158862 5586999 5126121 4739644 33923 7038521 1110415 1675882 508945 1342613 4768803 1743902 169913 8566708 4033984 5314904 8374676 5466474 8034537 688931 379744 977233 8259603
94,35001 441 4464338 5706842 2909266 6241855 1525859 7696644 5577391 6836457 6497059 9013530 82378 2133653 1889124 6265801 288467 1227668 1489838 1525719 35010 1498130 555789 2084652 1525734 452990 5478879 799068 8900955 34841 35308 232714 35518 35529 34832 243191 286717 287374 4955090 35017
95,35308 441 4946563 4117852 912204 852516 4707040 330169 4198070 4197585 85320 1849351 3788160 288467 1227668 1489838 1525719 35010 1498130 555789 2084652 1525734 452990 5478879 799068 8900955 34841 232714 35518 35529 34832 243191 286717 287374 4955090 35017 35018 288712 35070 286690 452980 35071 35009 1525759 287429 287690 35072 288447 35267 150754 34861 34855 34992
96,215199 264874 54569 4169616 548593 8730460 518282 1979045 2744030 2841437 809748 408583 109861 280763 6833394 8738739 2171760 2768788
97,10711 3147868 5785810 9105615 5024440 9081141 5410391 4761383 794114 8776159 7706201 4417117 4656207 5157197 1672626 211620 4312702
98,21604 29318 5368417 21412 8483756 482657 9108927
99,30546 1081888 30549 2607940 28630 10283 5546992 2772808 243382 940011 8110417 7292158 8480481 1308021 6391708 4446086 829960 8080265 3287980 5143877 2573624 1395567
100,8694 6856347 1773983 5272123 45149 59638 1207041 5311234 1211980 8766385
101,13213 3185856 4186853 4392141 389659 6627514 412904 755768 2782380 5540078 6925390 6068253 2628062 8703388 3832189 56832 768646 477277 7143190 712750 745405
102,262 8598292 4178245 248587 4654001 8743016 2633518 6423928 112797 4175626 5603453 6918167 1478528 5218717 9127945 3308166 6920320
103,3161000 5831 8928987 1305523 6593762 385100 7681532 6894392 3107309 1477166 74542 216292 2016539 1396073 10841 2407851 2432447 1912 213601 597733 7421 18596 1912733 8935923
104,11564 8316588 529387 5839420 1073836 1014988 2809328 1601123 4967691 5638334 637133 9202827 8458693 3360896
105,9503 6290161 156785 3079440 123571 9853 130887 309408 4776065 313142 78198 8172551 944499 1728278 7242086 5394805 2466421 516431 3605982 310908 5624035 45998 1908287 3587779 5394811 4267166 507986 5405371 359435 5394796 186561 6286111
106,2021 2002 9231659 2874823 1598242 662417 1990776 1166940 793331 2557877 3144972 109688
107,2786301 3349310 1645138 6083751 4718007 4793392 4122217 7461939 8939287 4718316 8583 8774264 8395979 472446 366946 803079 4379499 4848845 4730424 4476080 4768399 8888842 4997146 536131 269940
108,5323 140880 2585537 5616062 5391596 461086 4501795 1080334 1773738 5882720 5882700 1084806 1224675 3189759
109,16507 8789458 1328513 2226844 2256637 4625193 596940 8966958 2355842 198083 887496 1303630 7672710 798212 1859685 9214606 1034089 9190441 1280013 8006108 1046433 8323089 26021 15094 8861666 4226008 1413983 112259 18796 116181 2599
110,257801 3632759 1092580 3346714 3566041 3684629 3715622 3183470 1810058 1810071 1819060 1823787 3684609 3347583 1823800 1810088 1828146 1403485 1517535 3567407 3493389 2661050 3723317 3546043 3684623 3721809 2959813 2449821 3106686 2555105 3513241 3721757 3059263 3512669 3721979 2537980 1963475 2538157 1862913 3389178 2459629 1825157 1259372 1793310 1827293 1809308 3566049 3658962 1813582 55455 2459660 2586611 1819070 1810161 1810123 1402595 1828132 1409284 3411711 2536651 1823792 1810116 3715628 3606229 1819093 2537990 3632749 1823858 2861412 2529945 1891391 1810098 3684636 3186160 1862929 1047831 3487473 1402545 1819056 1793710 1812605 1092564 1793744 3658983 1403303 3192160 1862919 1130850 3573361 5107857 1810351 1812083 3179383 1823841 1810339 2174808 5542520 1846257
111,1140 12793 516240 310471 6487437 69430 2084265 4864503 15385 88294 2413035 2031450 492820 443973 7487309 1678958 2925721 2045156 4457110 8856509
112,865387 6514488 767943 178499 2481325 7971040 4991371 710708 1873503 5056087 39365 1553121 4243167 6007893 4327267 61408 238034 8972294 709147
113,26749 157585 4313615 1400381 1678613 3973498 719217 6324291 164469 3726296 2228112 3664947 1679900 1684031 1678526 2458136 1083685 1795782 641978 1967506 2594895 58314 522987 635004 1679827 228931 4031005 1177519 729948 2621975 165865 638367 2448387 2871142 256074 145167 7496174 1676990 149680 1664501 8359041 5104461 1679692 3053826 4179384 5326485 3190143 1851892 769800 5251802 146951 661658 3669171 918624 1197848 989598 1678674 209392 860675 3123655 4370184 3350003 1023948 970537 134445 2439831 1687590 165396 4136654 131229 1748496
114,67534 5989777 945675 3878033 1614108 5943683 2720661 1766115 7785140 8248358
115,16138 487476 351338 6457473 8334441 4744064 9029876 1678958 351550 8207916 5707099 8579279 4670975 4188130
116,48773 3903887 7023402 9106433 3032425 5211964 4252500 5459665 4708247 5206274 256790 2975588 4158102 7728463 8310317 2429192 5334014 4731930 4393456 1054105 7885489 1167640 6104893 2964225 8310662 7793632 3879509 2934806 227031 8643774 6468554
117,98624 245840 7969996 45629 336914 209300 321361 8621475 6225596 751329 8539872 4710961 1362851 737261 244623 4778 5689072 737337 2301515 23635 6893077 50683 1842256 3955677 3095637 6597479 9117413 213302 25718 161856 758574 1894557 15422 7232852 2003935 62577 32805 4949278 7433095 7372230 171532
118,98012 4226726 4272694 8704527 742434 922971 185006 1903459 2987881 4272771 5884315 1901825 8997909
119,4510 581506 2902142 6499405 2129251 5033628 887948 897485 740335 841398 1073618 1080552 9174 1416 699829 383 7888830 183428 26064 4825298 1017105 9149789 2468151 539527 4565236 280477 1783154 471619 7428360 7604204 4622523 6172187 1764911 3389780 4640117 128256 525753 791761 312137 11322 356547 9089310
120,82902 6484745 509060 2403514 1157977 2118283 7456703 1463765 715253 892589 4791240 5503887 5499749 4467809 784029 5891046 4709768 1968067 4703615 4376682 5968910 4481427 1177382 435936 294949 3190926 542988 8639198 6482135 1083426 8677683 416726 2619993 1517582 17984 1581694 5017888 6223374 2442443 1065232
121,957 2552 799180 36548 7686824 1825612 33603 79090 5544932 206085 6475939 5246393 1837772 3443769 4092415 1522704 5318966 7086707 4345491 8791186 2671052 798368 4893789 4601017 4312006 189950 983899 1297783 1993007 5246477
122,668440 4084309 8346720 335056 5560627 2654661 8370284 4922397 1599662 8335322
123,161259 5107097 1469459 5790231 557703 58229 161264 223259 5500998 1394542 8080355 787302 590459 156729 7475588 2465030 2517000 684131 783794 79829 5807314 3671065 659573 461745 2108614 399210 6015853 1321830 51876 312341 311669 2400685 3002058 722326 8357961 882667 188777 112919 609992 1277777 8163743 8745254 426071 61052 31947 238699 2893267 828184 29946 4336099 7588268 5477779
124,697755 8370892 1381032 1036979 4529393 2651071 1352718 4823604 5016496 2270992 1054099 3803548 3547886 5409063 8538706 5234477 1435786 1601167
125,2457113 338833 6295556 7799406 8652328 7523 5078023 5189863 8409195 1317295 175263 4289290 1456368 2538933 1885961 1498298 1498152 1497781 2514659 2516803 1970409 1330561 1498042 2487887 2515084 2499466 1494282 2521811 920290 4469322 2495287 175183 1304716 1304853 1442514 2537907 1496584
126,589596 1090733 7998105 8359454 2915909 5401729 4542174 7328319 7469286 697533 2642154 7446598 5189863 8409195 7379719 1317295 175263 4289290 1456368 2538933 1885961 1498298 1498152 1497781 2514659 2516803 1970409 1330561 1498042
127,366674 365939 707101 9238280 1056835 4086773 3438457 5879677 2442878 4992725 7488818 382220 2862418 5223560 8753359 26437 319 367457 5842123 7069092 8875163 5887274 5830122 4656155 4656214 5842136 8080 366671 194884 367421 5830098 114104 366883 366857 366907 36515 36518 8879561 4066 4457 23768 366845 367415 366902 366749 4659303 6254497 5391710 366678 367471 367477 366588 367482 366604 366614 367493 366784 367488 366774 366786 366807 281654 367489 366866 367411 367473 367456 366733 366789 36557
128,133696 133694 5956615 3135800 3413328 7062306 26437 3351312 3389628 319 367457 5842123 7069092 8875163 5887274 5830122 4656155 4656214 5842136 8080 366671 194884 367421 5830098 114104 366883 366857 366907 36515 36518 8879561 4066 4457 23768 366845 367415 366902 366749 4659303 6254497 5391710 366678 367471 367477 366588 367482 366604 366614 367493 366784 367488 366774 366786 366807 281654 367489 366866 367411 367473 367456 366733 366789 36557 366746 1090219 36531 26632 23707 366664 366800 5671 9354 308030 366933 366946 366971 366976 1860
129,366776 717948 442376 3586162 3586491 3040293 3586584 3586428 3586388 3586825 3586326 2661175 3588268 3588279 2413565 3588343 3586411 679999 5952430 3586555 3586371 1136557 3586740 1215727 3586150 839012 3586961 3587035 3586788 6189196 4617024 3586778 3586765 3588264 437645 421860 8187696 3465201 4226564 444119 3586097 367457
130,366933 87672 3345742 1565930 3345770 3345700 3345697 3345767 3345712 3301921 3345706 3345691 3345744 26437 3345708 3345714 3345759 3345693 3345738 319 367457 5842123 7069092 8875163 5887274 5830122 4656155 4656214 5842136 8080 366671 194884 367421 5830098 114104 366883 366857 366907 36515 36518 8879561 4066 4457 23768 366845 367415 366902 366749 4659303 6254497 5391710 366678 367471 367477 366588 367482 366604 366614 367493 366784 367488 366774 366786 366807 281654
131,262226 92387 6466643 2850539 7319343 3650809 3646722 3646521 4386504 3648318 3579265 4384839 3579260 26437 3579249 3648796 3650827 319 367457 5842123 7069092 8875163 5887274 5830122 4656155 4656214 5842136 8080 366671 194884 367421 5830098 114104 366883 366857 366907 36515 36518 8879561 4066 4457 23768 366845 367415 366902 366749 4659303 6254497 5391710 366678 367471 367477 366588 367482 366604 366614 367493 366784 367488 366774 366786 366807 281654 367489 366866 367411 367473 367456 366733 366789 36557 366746 1090219 36531 26632
132,367482 87618 775639 859099 2579213 8752029 7879943 312341 2829179 3878983 8752753 4487371 999198 1610332 161780 5878692 7218202 7033714 7483704 2860653 4876532 3490516 698920 6059925
133,8715 8349334 5871561 5902074 4945205 5872163 7713089 5902776 8147514 17296 7705452 5902051 1878799 6619175 5901541 7708115 8714 4146041 4256761 227742 5076699 42190 3804079 6553399 41627 41728 2912181 41776 1318172
